Это дерево, ему 101 лет, Его название: Дуб ; Растёт в пустыни
Это кустарник, месяц цветения - февральЕго название: Малина ; Растёт в пустыни
Это дерево, ему 21 лет, Его название: Берёза ; Растёт в тундре
Это дерево, ему 50 лет, Его название: Клён ; Растёт в степи
Это кустарник, месяц цветения - майЕго название: Крапива ; Растёт в арктике
Это дерево, ему 44 лет, Его название: Ясень ; Местность введенна некорректно
Это дерево, ему 14 лет, Его название: Пальма ; Растёт в арктике
Это кустарник, месяц цветения - ноябрьЕго название: Репейник ; Растёт в степи
Это дерево, ему 35 лет, Его название: Кактус ; Растёт в степи
Это кустарник, месяц цветения - сентябрьЕго название: Шиповник ; Растёт в пустыни
Это кустарник, месяц цветения - октябрьЕго название: Кактус ; Растёт в арктике
Это кустарник, месяц цветения - октябрьЕго название: Что-то ; Местность введенна некорректно
